Achraf Hakimi	Achraf_Hakimi
Ademola Lookman	Ademola_Lookman
Adrian Mutu	Adrian_Mutu
Adriano	Adriano
Agne Simonsson	Agne_Simonsson
Ake Johansson	Ake_Johansson
Alain Giresse	Alain_Giresse
Alan Ball	Alan_Ball
Alan Shearer	Alan_Shearer
Albert Shesternyov	Albert_Shesternyov
Alen Bokšić	Alen_Bokšić
Alessandro Altobelli	Alessandro_Altobelli
Alessandro Del Piero	Alessandro_Del_Piero
Alessandro Nesta	Alessandro_Nesta
Alexis Mac Allister	Alexis_Mac_Allister
Alexis Sánchez	Alexis_Sánchez
Alexsandr Chivadze	Alexsandr_Chivadze
Alfredo Di Stéfano	Alfredo_Di_Stéfano
Ali Kemal	Ali_Kemal
Alisson	Alisson
Allan Simonsen	Allan_Simonsen
Ally McCoist	Ally_McCoist
Amancio	Amancio
Anatoliy Byshovets	Anatoliy_Byshovets
Anatoliy Demyanenko	Anatoliy_Demyanenko
Anders Linderoth	Anders_Linderoth
Andrea Pirlo	Andrea_Pirlo
Andreas Brehme	Andreas_Brehme
Andreas Herzog	Andreas_Herzog
Andreas Köpke	Andreas_Köpke
Andreas Möller	Andreas_Möller
Andreas Thom	Andreas_Thom
Andrej Kvašňák	Andrej_Kvašňák
Andrey Arshavin	Andrey_Arshavin
Andriy Shevchenko	Andriy_Shevchenko
András Törőcsik	András_Törőcsik
André Lerond	André_Lerond
André Onana	André_Onana
Andrés Iniesta	Andrés_Iniesta
Andy Cole	Andy_Cole
Angelo Domenghini	Angelo_Domenghini
Angelo Peruzzi	Angelo_Peruzzi
Angelo Sormani	Angelo_Sormani
Angelos Charisteas	Angelos_Charisteas
Antal Dunai	Antal_Dunai
Antoine Griezmann	Antoine_Griezmann
Anton Ondruš	Anton_Ondruš
Antoni Ramallets	Antoni_Ramallets
Antonio Angelillo	Antonio_Angelillo
Antonio Cabrini	Antonio_Cabrini
Antonio Maceda	Antonio_Maceda
Antonio Rüdiger	Antonio_Rüdiger
Antonios Nikopolidis	Antonios_Nikopolidis
Antonín Panenka	Antonín_Panenka
António Oliveira	António_Oliveira
Archie Gemmill	Archie_Gemmill
Arie Haan	Arie_Haan
Arjen Robben	Arjen_Robben
Artem Dovbyk	Artem_Dovbyk
Arturo Vidal	Arturo_Vidal
Asamoah Gyan	Asamoah_Gyan
Barry Hulshoff	Barry_Hulshoff
Basile Boli	Basile_Boli
Bastian Schweinsteiger	Bastian_Schweinsteiger
Bebeto	Bebeto
Bengt Gustavsson	Bengt_Gustavsson
Benny Wendt	Benny_Wendt
Bent Skammelsrud	Bent_Skammelsrud
Bernardo Silva	Bernardo_Silva
Bernd Schneider	Bernd_Schneider
Bernd Schuster	Bernd_Schuster
Berti Vogts	Berti_Vogts
Billy Bremner	Billy_Bremner
Billy Wright	Billy_Wright
Bixente Lizarazu	Bixente_Lizarazu
Blagoje Vidinić	Blagoje_Vidinić
Bobby Charlton	Bobby_Charlton
Bobby Moore	Bobby_Moore
Bobby Smith	Bobby_Smith
Bora Kostić	Bora_Kostić
Branko Oblak	Branko_Oblak
Brian Laudrup	Brian_Laudrup
Bruno Conti	Bruno_Conti
Bruno Fernandes	Bruno_Fernandes
Bruno Martini	Bruno_Martini
Bruno Nicolè	Bruno_Nicolè
Bruno Pezzey	Bruno_Pezzey
Bryan Robson	Bryan_Robson
Bukayo Saka	Bukayo_Saka
Břetislav Dolejší	Břetislav_Dolejší
Cafu	Cafu
Carles Puyol	Carles_Puyol
Carles Rexach	Carles_Rexach
Carlos Manuel	Carlos_Manuel
Carlos Tevez	Carlos_Tevez
Casemiro	Casemiro
Cesar Azpilicueta	Cesar_Azpilicueta
Cesare Maldini	Cesare_Maldini
Cesc Fàbregas	Cesc_Fàbregas
Charles Antenen	Charles_Antenen
Chris Waddle	Chris_Waddle
Christian Vieri	Christian_Vieri
Christian Ziege	Christian_Ziege
Christopher Nkunku	Christopher_Nkunku
Ciriaco Sforza	Ciriaco_Sforza
Ciro Ferrara	Ciro_Ferrara
Clarence Seedorf	Clarence_Seedorf
Claude Makélélé	Claude_Makélélé
Claudio López	Claudio_López
Coen Moulijn	Coen_Moulijn
Cole Palmer	Cole_Palmer
Colin McDonald	Colin_McDonald
Colin Todd	Colin_Todd
Cornel Dinu	Cornel_Dinu
Costa Pereira	Costa_Pereira
Costică Ștefănescu	Costică_Ștefănescu
Cristiano Ronaldo	Cristiano_Ronaldo
Damiano Tommasi	Damiano_Tommasi
Dani Alves	Dani_Alves
Dani Carvajal	Dani_Carvajal
Dani Olmo	Dani_Olmo
Danny Blanchflower	Danny_Blanchflower
Darko Pančev	Darko_Pančev
Darwin Núñez	Darwin_Núñez
David Beckham	David_Beckham
David Ginola	David_Ginola
David Kipiani	David_Kipiani
David Luiz	David_Luiz
David O'Leary	David_O'Leary
David Platt	David_Platt
David Seaman	David_Seaman
David Trezeguet	David_Trezeguet
David Villa	David_Villa
David de Gea	David_de_Gea
Davor Šuker	Davor_Šuker
Dean Saunders	Dean_Saunders
Declan Rice	Declan_Rice
Deco	Deco
Dejan Savićević	Dejan_Savićević
Denis Law	Denis_Law
Dennis Bergkamp	Dennis_Bergkamp
Denzel Dumfries	Denzel_Dumfries
Des Walker	Des_Walker
Dezső Bundzsák	Dezső_Bundzsák
Dida	Dida
Didier Deschamps	Didier_Deschamps
Didier Drogba	Didier_Drogba
Didier Six	Didier_Six
Diego	Diego
Diego Costa	Diego_Costa
Diego Forlán	Diego_Forlán
Diego Godín	Diego_Godín
Dieter Müller	Dieter_Müller
Dimitar Berbatov	Dimitar_Berbatov
Dimitri Payet	Dimitri_Payet
Dimitris Saravakos	Dimitris_Saravakos
Dino Baggio	Dino_Baggio
Dino Zoff	Dino_Zoff
Dominique Bathenay	Dominique_Bathenay
Dominique Rocheteau	Dominique_Rocheteau
Don Givens	Don_Givens
Donny van de Beek	Donny_van_de_Beek
Dragan Džajić	Dragan_Džajić
Dragan Stojković	Dragan_Stojković
Dragoslav Šekularac	Dragoslav_Šekularac
Dries Mertens	Dries_Mertens
Dudu Georgescu	Dudu_Georgescu
Dumitru Macri	Dumitru_Macri
Duncan Edwards	Duncan_Edwards
Dušan Tadić	Dušan_Tadić
Dušan Vlahović	Dušan_Vlahović
Dwight Yorke	Dwight_Yorke
Désiré Doué	Désiré_Doué
Ebbe Sand	Ebbe_Sand
Eden Hazard	Eden_Hazard
Edgar Davids	Edgar_Davids
Edin Džeko	Edin_Džeko
Edinson Cavani	Edinson_Cavani
Eduard Streltsov	Eduard_Streltsov
Edwin van der Sar	Edwin_van_der_Sar
El Hadji Diouf	El_Hadji_Diouf
Emil Kostadinov	Emil_Kostadinov
Emiliano Martínez	Emiliano_Martínez
Emilio Butragueño	Emilio_Butragueño
Emlyn Hughes	Emlyn_Hughes
Emmanuel Adebayor	Emmanuel_Adebayor
Emmanuel Olisadebe	Emmanuel_Olisadebe
Emmanuel Petit	Emmanuel_Petit
Enzo Scifo	Enzo_Scifo
Eric Abidal	Eric_Abidal
Eric Cantona	Eric_Cantona
Eric Carrière	Eric_Carrière
Eric Gerets	Eric_Gerets
Erich Hof	Erich_Hof
Erling Haaland	Erling_Haaland
Ernst Ocwirk	Ernst_Ocwirk
Ernő Solymosi	Ernő_Solymosi
Erwin Vandenbergh	Erwin_Vandenbergh
Eusébio	Eusébio
Ezio Pascutti	Ezio_Pascutti
Fabien Barthez	Fabien_Barthez
Fabinho	Fabinho
Fabio Cannavaro	Fabio_Cannavaro
Fabián Ruiz	Fabián_Ruiz
Fabrizio Ravanelli	Fabrizio_Ravanelli
Federico Valverde	Federico_Valverde
Fedor Cherenkov	Fedor_Cherenkov
Felix Magath	Felix_Magath
Ferenc Bene	Ferenc_Bene
Ferenc Puskás	Ferenc_Puskás
Fernando Chalana	Fernando_Chalana
Fernando Gomes	Fernando_Gomes
Fernando Hierro	Fernando_Hierro
Fernando Morientes	Fernando_Morientes
Fernando Redondo	Fernando_Redondo
Fernando Torres	Fernando_Torres
Filippo Inzaghi	Filippo_Inzaghi
Finidi George	Finidi_George
Flemming Povlsen	Flemming_Povlsen
Florea Dumitrache	Florea_Dumitrache
Florent Malouda	Florent_Malouda
Florian Wirtz	Florian_Wirtz
Flórián Albert	Flórián_Albert
Francesco Graziani	Francesco_Graziani
Francesco Toldo	Francesco_Toldo
Francesco Totti	Francesco_Totti
Francis Lee	Francis_Lee
Francisco Gento	Francisco_Gento
Franck Ribéry	Franck_Ribéry
Franck Sauzée	Franck_Sauzée
Franco Baresi	Franco_Baresi
Franco Causio	Franco_Causio
Frank Arnesen	Frank_Arnesen
Frank Lampard	Frank_Lampard
Frank Rijkaard	Frank_Rijkaard
Frank Stapleton	Frank_Stapleton
Frank de Boer	Frank_de_Boer
Franky Vercauteren	Franky_Vercauteren
Frans Thijssen	Frans_Thijssen
Franz Beckenbauer	Franz_Beckenbauer
Franz Hasil	Franz_Hasil
François Van Der Elst	François_Van_Der_Elst
Frenkie de Jong	Frenkie_de_Jong
Frédéric Kanouté	Frédéric_Kanouté
Gabriel Batistuta	Gabriel_Batistuta
Gaetano Scirea	Gaetano_Scirea
Gaizka Mendieta	Gaizka_Mendieta
Gareth Bale	Gareth_Bale
Gary Lineker	Gary_Lineker
Gary Pallister	Gary_Pallister
Gary Stevens	Gary_Stevens
Gennaro Gattuso	Gennaro_Gattuso
Geoff Hurst	Geoff_Hurst
George Best	George_Best
George Weah	George_Weah
Georges Grün	Georges_Grün
Georgi Asparuhov	Georgi_Asparuhov
Georgi Dimitrov	Georgi_Dimitrov
Georgi Naydenov	Georgi_Naydenov
Georginio Wijnaldum	Georginio_Wijnaldum
Gerard Moreno	Gerard_Moreno
Gerard Piqué	Gerard_Piqué
Gerd Müller	Gerd_Müller
Gerhard Hanappi	Gerhard_Hanappi
Germano	Germano
Gernot Fraydl	Gernot_Fraydl
Gerrie Mühren	Gerrie_Mühren
Gert Dörfel	Gert_Dörfel
Gheorghe Hagi	Gheorghe_Hagi
Giacinto Facchetti	Giacinto_Facchetti
Giampiero Boniperti	Giampiero_Boniperti
Giancarlo Antognoni	Giancarlo_Antognoni
Gianfranco Zola	Gianfranco_Zola
Gianluca Pagliuca	Gianluca_Pagliuca
Gianluca Vialli	Gianluca_Vialli
Gianluca Zambrotta	Gianluca_Zambrotta
Gianluigi Buffon	Gianluigi_Buffon
Gianluigi Donnarumma	Gianluigi_Donnarumma
Gianni Rivera	Gianni_Rivera
Gigi Riva	Gigi_Riva
Gilbert Gress	Gilbert_Gress
Giorgio Chiellini	Giorgio_Chiellini
Giorgio Chinaglia	Giorgio_Chinaglia
Giorgos Sideris	Giorgos_Sideris
Giovane Élber	Giovane_Élber
Giovanni Trapattoni	Giovanni_Trapattoni
Giuseppe Signori	Giuseppe_Signori
Glenn Hoddle	Glenn_Hoddle
Glenn Hysén	Glenn_Hysén
Gonzalo Higuaín	Gonzalo_Higuaín
Gordon Banks	Gordon_Banks
Gordon McQueen	Gordon_McQueen
Gordon Strachan	Gordon_Strachan
Graeme Souness	Graeme_Souness
Granit Xhaka	Granit_Xhaka
Grzegorz Lato	Grzegorz_Lato
Guido Buchwald	Guido_Buchwald
Guillermo Ochoa	Guillermo_Ochoa
Gunnar Gren	Gunnar_Gren
Guy Hellers	Guy_Hellers
Gyula Grosics	Gyula_Grosics
Gérard Janvion	Gérard_Janvion
Günter Netzer	Günter_Netzer
Hakan Çalhanoğlu	Hakan_Çalhanoğlu
Hakan Şükür	Hakan_Şükür
Hans Krankl	Hans_Krankl
Hans-Jürgen Kreische	Hans-Jürgen_Kreische
Hans-Peter Briegel	Hans-Peter_Briegel
Hansi Müller	Hansi_Müller
Harald Schumacher	Harald_Schumacher
Harry Bild	Harry_Bild
Harry Gregg	Harry_Gregg
Harry Kane	Harry_Kane
Harry Kewell	Harry_Kewell
Hasan Şaş	Hasan_Şaş
Heinz Flohe	Heinz_Flohe
Heinz Hermann	Heinz_Hermann
Helmut Duckadam	Helmut_Duckadam
Helmut Haller	Helmut_Haller
Helmut Rahn	Helmut_Rahn
Henrik Andersen	Henrik_Andersen
Henrik Larsen	Henrik_Larsen
Henrik Larsson	Henrik_Larsson
Herbert Prohaska	Herbert_Prohaska
Hernán Crespo	Hernán_Crespo
Hidetoshi Nakata	Hidetoshi_Nakata
Horst Hrubesch	Horst_Hrubesch
Horst Nemec	Horst_Nemec
Horst Szymaniak	Horst_Szymaniak
Hristo Bonev	Hristo_Bonev
Hristo Stoichkov	Hristo_Stoichkov
Hugo Lloris	Hugo_Lloris
Ian Rush	Ian_Rush
Ian Wright	Ian_Wright
Igor Belanov	Igor_Belanov
Igor Chislenko	Igor_Chislenko
Igor Netto	Igor_Netto
Iker Casillas	Iker_Casillas
Isco	Isco
Ivan Kolev	Ivan_Kolev
Ivan Rakitić	Ivan_Rakitić
Ivan Ćurković	Ivan_Ćurković
Ivica Osim	Ivica_Osim
Ivo Viktor	Ivo_Viktor
Ivor Allchurch	Ivor_Allchurch
Iván Helguera	Iván_Helguera
Iván Zamorano	Iván_Zamorano
Jaap Stam	Jaap_Stam
Jack Charlton	Jack_Charlton
